time,open,high,low,close,vol
1618633800000,0.15003,0.15318,0.14899,0.15196,16369494
1618635600000,0.15196,0.15432,0.14907,0.15053,15785726
1618637400000,0.15049,0.15264,0.14962,0.15212,10607994
1618639200000,0.15221,0.15255,0.14980,0.15066,7523227
1618641000000,0.15069,0.15232,0.15051,0.15186,6088203
1618642800000,0.15179,0.15187,0.14800,0.14839,10100786
1618644600000,0.14838,0.15116,0.14786,0.15074,8971932
1618646400000,0.15074,0.15508,0.15074,0.15508,19495882
1618648200000,0.15508,0.15511,0.15138,0.15408,14217277
1618650000000,0.15408,0.15566,0.14924,0.15028,16962663
1618651800000,0.15015,0.15123,0.14725,0.14922,13352351
1618653600000,0.14923,0.15190,0.14800,0.14891,10879592
1618655400000,0.14898,0.15024,0.14796,0.14921,6661120
1618657200000,0.14921,0.14924,0.14511,0.14622,10777642
1618659000000,0.14629,0.14796,0.14392,0.14621,14958262
1618660800000,0.14630,0.14688,0.14371,0.14523,12439651
1618662600000,0.14526,0.14706,0.14460,0.14635,5953968
1618664400000,0.14626,0.14712,0.14377,0.14561,8344809
1618666200000,0.14564,0.14750,0.14529,0.14712,6128965
1618668000000,0.14714,0.14730,0.14542,0.14608,6265716
1618669800000,0.14611,0.14924,0.14611,0.14732,8575701
1618671600000,0.14731,0.14797,0.14410,0.14744,9436044
1618673400000,0.14753,0.14753,0.14300,0.14486,13187471
1618675200000,0.14497,0.14708,0.14286,0.14574,11843252
1618677000000,0.14579,0.14684,0.14488,0.14574,5018650
1618678800000,0.14568,0.15074,0.14567,0.14962,12993967
1618680600000,0.14966,0.15022,0.14500,0.14522,10827296
1618682400000,0.14512,0.14879,0.14500,0.14788,7551239
1618684200000,0.14793,0.14992,0.14745,0.14788,7070734
1618686000000,0.14797,0.15032,0.14745,0.14831,11109040
1618687800000,0.14831,0.14981,0.14831,0.14888,4676565
1618689600000,0.14890,0.14907,0.14730,0.14788,3972857
1618691400000,0.14800,0.14848,0.14740,0.14805,3738469
1618693200000,0.14802,0.14832,0.14754,0.14794,2511770
1618695000000,0.14790,0.14797,0.14648,0.14694,3693727
1618696800000,0.14695,0.14757,0.14609,0.14745,4013345
1618698600000,0.14736,0.14796,0.14600,0.14709,4118846
1618700400000,0.14708,0.14751,0.14477,0.14478,7953779
1618702200000,0.14478,0.14526,0.14349,0.14364,5193812
1618704000000,0.14365,0.14538,0.14168,0.14209,8944750
1618705800000,0.14208,0.14319,0.14116,0.14116,7434676
1618707600000,0.14120,0.14233,0.14000,0.14205,8675517
1618709400000,0.14200,0.14401,0.14135,0.14205,4313154
1618711200000,0.14208,0.14307,0.14000,0.14307,4547047
1618713000000,0.14305,0.14353,0.14040,0.14081,4434329
1618714800000,0.14074,0.14175,0.11618,0.12243,72579369
1618716600000,0.12251,0.12450,0.08677,0.11099,102654072
1618718400000,0.11156,0.12551,0.10822,0.12371,96778042
1618720200000,0.12371,0.12622,0.11840,0.11965,30587479
1618722000000,0.11954,0.12808,0.11719,0.12570,30234239
1618723800000,0.12583,0.12711,0.12297,0.12641,11403909
1618725600000,0.12641,0.13131,0.12488,0.13104,9845575
1618727400000,0.13107,0.13161,0.12392,0.12662,34036928
1618729200000,0.12662,0.12869,0.12585,0.12746,12909392
1618731000000,0.12753,0.13017,0.12658,0.13017,9821893
1618732800000,0.13002,0.13019,0.12641,0.12729,12235694
1618734600000,0.12726,0.12766,0.12114,0.12268,16181650
1618736400000,0.12276,0.12314,0.11642,0.11693,16980376
1618738200000,0.11680,0.12002,0.11601,0.11961,13178867
1618740000000,0.11961,0.12150,0.11801,0.11897,11866884
1618741800000,0.11886,0.12000,0.11716,0.11786,9507680
1618743600000,0.11793,0.11934,0.11564,0.11590,8382768
1618745400000,0.11591,0.11671,0.10995,0.11143,25982166
1618747200000,0.11144,0.11597,0.11140,0.11571,13272185
1618749000000,0.11584,0.11969,0.11475,0.11905,16495128
1618750800000,0.11908,0.11978,0.11783,0.11925,8740742
1618752600000,0.11924,0.12255,0.11903,0.12239,10855294
1618754400000,0.12239,0.12243,0.12003,0.12234,10763614
1618756200000,0.12234,0.12504,0.12104,0.12130,10145004
1618758000000,0.12130,0.12500,0.12013,0.12350,13184540
1618759800000,0.12347,0.12478,0.12140,0.12321,9487194
1618761600000,0.12321,0.12752,0.12320,0.12628,11870748
1618763400000,0.12628,0.12639,0.12249,0.12399,9794227
1618765200000,0.12400,0.12485,0.12179,0.12250,7654795
1618767000000,0.12252,0.12311,0.12069,0.12183,9266308
1618768800000,0.12184,0.12280,0.12101,0.12120,5847883
1618770600000,0.12120,0.12405,0.12116,0.12222,6207974
1618772400000,0.12224,0.12368,0.12154,0.12251,7064543
1618774200000,0.12249,0.12426,0.12224,0.12336,5458204
1618776000000,0.12338,0.12667,0.12324,0.12599,6901628
1618777800000,0.12603,0.12668,0.12336,0.12447,7220656
1618779600000,0.12465,0.12843,0.12406,0.12711,7240642
1618781400000,0.12714,0.13205,0.12613,0.13121,24811257
1618783200000,0.13120,0.13300,0.12982,0.12984,16506054
1618785000000,0.12998,0.13500,0.12970,0.13407,10366972
1618786800000,0.13407,0.13542,0.12916,0.12991,10924427
1618788600000,0.12990,0.13095,0.12759,0.12876,10812947
1618790400000,0.12880,0.12981,0.12464,0.12728,12662319
1618792200000,0.12734,0.13052,0.12660,0.13034,17306667
1618794000000,0.13039,0.13555,0.12943,0.13491,15082284
1618795800000,0.13481,0.13491,0.13154,0.13154,12687756
1618797600000,0.13157,0.13282,0.12961,0.13059,5834445
1618799400000,0.13058,0.13317,0.13021,0.13067,11753394
1618801200000,0.13069,0.13185,0.13000,0.13112,2733313
1618803000000,0.13120,0.13248,0.13047,0.13248,4521579
1618804800000,0.13247,0.13471,0.13214,0.13387,7416954
1618806600000,0.13387,0.13653,0.13271,0.13594,7191920
1618808400000,0.13594,0.13594,0.13151,0.13208,7623937
1618810200000,0.13217,0.13303,0.13100,0.13161,3897129
1618812000000,0.13161,0.13296,0.13148,0.13278,3757119
1618813800000,0.13278,0.13607,0.13242,0.13500,6226649
1618815600000,0.13502,0.13697,0.13430,0.13689,5679738
1618817400000,0.13690,0.13719,0.13410,0.13585,4987202
1618819200000,0.13578,0.13914,0.13227,0.13252,9813788
1618821000000,0.13252,0.13430,0.13201,0.13214,9727809
1618822800000,0.13216,0.13432,0.13150,0.13320,10964073
